Month,Once,Recur,Recurring,Once2,Recur2,Recurring2,Once3,Recur3,Recurring3,Once4,Recur4,Recurring4,Total
Enero," $173.926,00"," $173.433,00","$2.521.167,38","$47.311,00","$73.946,00","$895.895,17","$1.540,00","$8.124,00","$13.509,00","$142.450,00","$216.903,00","$4.805.346,64","$5.164.699,64"
Febrero," $169.139,00"," $134.834,64","$2.677.257,08","$55.621,00","$170.301,00"," $962.446,57","$1.615,00","$17.681,00","$20.820,60","$286.800,00","$145.919,00","$5.000.559,34","$5.433.278,34"
Marzo," $354.420,00"," $159.529,00","$2.798.608,26"," $62.058,00"," $94.812,00"," $1.115.717,47","$11.561,00","$37.087,00","$36.733,50","$703.362,00","$428.350,00","$5.131.886,44","$6.263.598,44"
Abril," $127.553,00"," $174.795,00","$2.942.184,36"," $133.599,00","$117.445,00","$1.201.048,27","$384.832,00","$66.063,00","$77.465,79","$493.662,00","$392.730,00","$5.517.401,44","$6.403.793,44"
Mayo," $233.978,00"," $250.865,00","$3.099.499,86"," $150.595,00","$197.504,22","$1.306.748,77","$44.008,00","$39.015,00","$129.568,50","$374.534,00","$449.079,00","$5.870.858,44","$6.694.471,44"
Junio," $293.425,00"," $176.815,32","$3.325.278,36"," $286.387,00","$155.791,26","$1.484.502,57","$120.934,00","$73.755,00","$164.682,00","$602.758,00","$293.864,00","$6.275.029,54","$7.171.651,54"
Julio," $220.679,00"," $167.877,00","$3.484.412,15"," $250.595,00","$235.333,67","$1.624.714,70","$31.181,00","$65.095,00","$231.061,50",,,,"$6.539.507,14"
Agosto," $752.791,00"," $261.314,84","$3.635.501,45"," $216.285,00","$175.119,90","$1.836.515,01","$123.411,00","$81.297,00","$289.647,00",,,,"$6.539.507,14"
Septiembre," $442.566,00"," $278.480,50","$3.870.684,80"," $332.069,00","$131.091,66","$1.994.122,92","$246.900,00","$239.651,00","$862.743,60",,,,"$6.539.507,14"
Octubre," $430.211,00"," $217.619,65","$4.121.317,25","$267.516,00","$125.358,50","$2.112.105,41","$212.515,00","$121.283,50","$578.500,20",,,,"$6.539.507,14"
Noviembre," $355.442,00"," $286.641,00","$4.317.174,94","$213.020,00","$157.740,80","$2.224.928,06","$190.696,00","$99.663,50","$687.655,35",,,,"$6.539.507,14"
Deciembre," $394.536,00"," $255.772,00","$4.575.151,84","$345.013,00","$171.414,00"," $2.366.894,78","146.195,00","$131.714,08","$777.352,50",,,,"$6.539.507,14"
