Month,Mensual,Historico
Diciembre,"$16.060,00","$16.060,00"
Enero,"$23.173,00","$39.233,00"
Febrero,"$40.116,60","$79.349,60"
Marzo,"$85.381,50","$164.731,10"
Abril,"$528.360,79","$693.091,89"
Mayo,"$212.591,50","$905.683,39"
Junio,"$359.371,00","$1.265.054,39"
Julio,"$327.337,50","$1.592.391,89"
Agosto,"$494.355,00","$2.086.746,89"
Septiembre,"$1.349.294,60","$3.436.041,49"
Octubre,"$912.298,70","$4.348.340,19"
Noviembre,"$978.014,85","$5.326.355,04"
Deciembre,"$1.055.261,58","$6.381.616,62"
Enero,"$1.017.152,17","$7.398.768,79"
Febrero,"$1.188.368,57","$8.587.137,36"
Marzo,"$1.272.587,47","$9.859.724,84"
Abril,"$1.452.092,27","$11.311.817,11"
Mayo,"$1.654.847,99","$12.966.665,10"
Junio,"$1.926.680,83","$14.893.345,93"
Julio,"$2.110.643,37","$17.003.989,30"
Agosto,"$2.227.919,91","$19.231.909,21"
Septiembre,"$2.457.283,58","$21.689.192,79"
Octubre,"$2.504.979,91","$24.194.172,70"
Noviembre,"$2.595.688,86","$26.789.861,56"
Deciembre,"$2.883.321,78","$29.673.183,34"
Enero,"$2.868.526,38","$32.541.709,72"
Febrero,"$2.981.230,72","$35.522.940,44"
Marzo,"$3.312.557,26","$38.835.497,70"
Abril,"$3.244.532,36","$42.080.030,06"
Mayo,"$3.584.342,86","$45.664.372,91"
Junio,"$3.795.518,68","$49.459.891,59"
Julio,"$3.872.968,15","$53.332.859,74"
Agosto,"$4.649.607,29","$57.982.467,02"
Septiembre,"$4.591.731,30","$62.574.198,32"
Octubre,"$4.769.147,90","$67.343.346,22"
Noviembre,"$4.959.257,94","$72.302.604,16"
Deciembre,"$5.225.459,84","$77.528.064,00"
Enero,"$5.164.699,64","$82.692.763,63"
Febrero,"$5.433.278,34","$88.126.041,97"
Marzo,"$6.263.598,44","$94.389.640,40"
Abril,"$6.403.793,44","$100.793.433,84"
Mayo,"$6.694.471,44","$107.487.905,28"
Junio,"$7.171.651,54","$114.659.556,81"
